num_ligne;Rentrée scolaire;Code région;Région académique;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental
1636.0;2023-2024;16;OCCITANIE;16;TOULOUSE;31;HAUTE-GARONNE;31555;TOULOUSE;0311584D;COLLEGE MARENGO;public;122.1;39.5;124.1;100.9;105.9;123;107.5;110.3;138.5;112.7;116.4
1657.0;2023-2024;16;OCCITANIE;16;TOULOUSE;31;HAUTE-GARONNE;31555;TOULOUSE;0311962P;COLLEGE PRIVE LE CAOUSOU;privé sous contrat;153.1;24.4;124.1;100.9;105.9;123;107.5;110.3;138.5;112.7;116.4
6824.0;2023-2024;12;MARTINIQUE;31;MARTINIQUE;972;MARTINIQUE;97210;LE FRANCOIS;9720495F;COLLEGE TRIANON;public;87.5;27.6;124.1;100.9;105.9;126.3;95.6;101.3;126.3;95.6;101.3
3390.0;2023-2024;06;GRAND EST;12;NANCY-METZ;57;MOSELLE;57480;MONTIGNY LES METZ;0572927X;COLLEGE PRIVE JEAN XXIII;privé sous contrat;133.4;31.7;124.1;100.9;105.9;122.4;97;100.7;124.3;95.3;99.6
6894.0;2023-2024;11;LA REUNION;28;LA REUNION;974;LA REUNION;97411;SAINT DENIS;9740072K;COLLEGE PRIVE LA SALLE ST MICHEL;privé sous contrat;129.1;28.5;124.1;100.9;105.9;122.6;84.6;88.3;122.6;84.6;88.3
3421.0;2023-2024;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58083;CORBIGNY;0580065F;COLLEGE PRIVE SAINT LEONARD;privé sous contrat;102.4;22.7;124.1;100.9;105.9;121.3;100.8;103.8;111.9;99.2;100.8
6924.0;2023-2024;11;LA REUNION;28;LA REUNION;974;LA REUNION;97410;SAINT BENOIT;9740702V;COLLEGE HUBERT DELISLE;public;75.7;27.8;124.1;100.9;105.9;122.6;84.6;88.3;122.6;84.6;88.3
3490.0;2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59457;PERENCHIES;0592901H;COLLEGE PRIVE SAINTE MARIE;privé sous contrat;121.2;31.4;124.1;100.9;105.9;119;91.2;98.9;119;92.2;100.8
6989.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01053;BOURG EN BRESSE;0010018P;COLLEGE DU REVERMONT;public;96.7;33.9;125.1;100.9;106.1;127.9;102.1;109.6;124.1;105.9;109.4
3528.0;2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59663;WORMHOUT;0593163T;COLLEGE PRIVE NOTRE DAME;privé sous contrat;110.7;29;124.1;100.9;105.9;119;91.2;98.9;119;92.2;100.8
7102.0;2024-2025;09;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02141;LA CAPELLE;0021595Y;COLLEGE PIERRE SELLIER;public;91.9;29.7;125.1;100.9;106.1;121.9;95.1;99.7;114.9;90.5;93.6
3603.0;2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59484;QUIEVRECHAIN;0594303G;COLLEGE JEHAN FROISSART;public;78.5;23.3;124.1;100.9;105.9;119;91.2;98.9;119;92.2;100.8
3618.0;2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59207;ESCAUTPONT;0594409X;COLLEGE JEAN ZAY;public;70.5;20.4;124.1;100.9;105.9;119;91.2;98.9;119;92.2;100.8
3629.0;2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59361;LOURCHES;0594533G;COLLEGE VOLTAIRE;public;75.5;25.9;124.1;100.9;105.9;119;91.2;98.9;119;92.2;100.8
